x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,cwt_f32,cwt_f34,cwt_f36,cwt_f38,cwt_f40,Borehole_name,DAS_name,train_number
192733.7797,502794.1986,0.5,-4.0,,1.0763857518574237e-08,9.106596985270124e-09,8.148862680267165e-09,8.861477066009076e-09,1.1348595097721744e-08,1.1486004105607456e-08,1.0837140324176453e-08,1.2585273211668503e-08,1.0967895015599332e-08,6.5558378991804325e-09,4.817998429826511e-09,4.130289453049872e-09,4.185089446490648e-09,4.000694118402442e-09,3.395640498330665e-09,2.6628446210571407e-09,21D0187,120,1
192733.7797,502794.1986,0.5,-4.0,,1.621880852976848e-08,1.6736748328790247e-08,1.3162899793731129e-08,9.998138353211656e-09,7.579071007234413e-09,7.186031652859212e-09,6.700438990670513e-09,5.794173561304829e-09,5.218117165909598e-09,3.8846812368159874e-09,3.450130668290512e-09,2.8397890285639117e-09,2.9190932683557382e-09,3.366338271881322e-09,2.850019567295526e-09,2.007361084795988e-09,21D0187,120,2
192733.7797,502794.1986,0.5,-4.0,,7.020904631539807e-09,7.3033332302506655e-09,7.459541612064548e-09,6.462978837371184e-09,6.825903384790972e-09,9.96071912173034e-09,1.0964883378617825e-08,9.357351981187212e-09,7.319767024344735e-09,4.477866158805029e-09,3.3272828589279678e-09,2.3939327643307923e-09,2.083779751302697e-09,2.097917393311307e-09,1.666042188722377e-09,1.243276757998337e-09,21D0187,120,3
192733.7797,502794.1986,0.5,-4.0,,1.6812792914887843e-08,2.0456390552712324e-08,2.0969863901615748e-08,1.710341651199036e-08,9.242840930345616e-09,4.5422359827611195e-09,3.738025074116005e-09,4.427164425179812e-09,4.8408740757266105e-09,4.235343320146201e-09,3.321754940348303e-09,1.891759682690934e-09,1.35267741678492e-09,1.397755501742325e-09,1.394058124607142e-09,1.2434249868433904e-09,21D0187,120,4
192733.7797,502794.1986,0.5,-4.0,,1.9021629613411103e-08,2.3532738582498624e-08,2.0600494572879783e-08,1.518859313964061e-08,9.125478286415105e-09,5.270056203689771e-09,4.0331713630245755e-09,3.241283011838328e-09,3.083684532320441e-09,2.925498306723042e-09,2.565792489655686e-09,2.4691785422104512e-09,2.4562881157736723e-09,2.2355328644114207e-09,1.7601901490690882e-09,1.447450763137134e-09,21D0187,120,5
192733.7797,502794.1986,0.5,-4.0,,6.639244480479492e-09,5.217713509086325e-09,4.334482178400228e-09,5.607561206708657e-09,8.477991231337844e-09,1.1679155058413192e-08,1.164384234472862e-08,1.0355843949869331e-08,8.622700939126235e-09,4.849447246001661e-09,3.2189286050197523e-09,2.834500782984761e-09,2.855980820685471e-09,3.290512916942274e-09,3.1496557168893422e-09,2.5612951367435158e-09,21D0187,120,6
192733.7797,502794.1986,0.5,-4.0,,1.5249959829529946e-08,2.1786526995717676e-08,2.2987812024012656e-08,1.8361412744177125e-08,1.1644375523178882e-08,7.115152035932067e-09,6.0849509216210524e-09,5.773169748157937e-09,5.303265493210101e-09,4.739402484516626e-09,3.8691902495643935e-09,2.892324055284684e-09,3.0623623396128892e-09,2.951673104944268e-09,2.0339133420028496e-09,1.736236383000669e-09,21D0187,120,7
192733.7797,502794.1986,0.5,-4.0,,2.0505725080483327e-08,2.7950639161410268e-08,3.013113718909067e-08,2.4419159019560548e-08,1.3380498555745465e-08,6.838717314791888e-09,5.687349653693994e-09,6.971345460202798e-09,8.473869796424591e-09,7.954701920660141e-09,5.879840065993538e-09,3.810036756875045e-09,5.360745503045902e-09,5.205052746358009e-09,3.2604883704198952e-09,2.43042572457062e-09,21D0187,120,8
192733.7797,502794.1986,0.5,-4.0,,6.47758842252713e-09,5.323357466914305e-09,4.9965874885017e-09,4.9727526237877695e-09,5.532047979871964e-09,7.595197062452013e-09,7.876405355318894e-09,6.4492575197268545e-09,5.063573780719258e-09,3.524804244322464e-09,2.9805663672347827e-09,2.088685246115559e-09,2.265870946077636e-09,3.033736064398333e-09,2.9981375413319303e-09,2.446454084619124e-09,21D0187,120,9
192733.7797,502794.1986,0.5,-4.0,,1.00640201990772e-08,1.4392942116949462e-08,1.9779445287908108e-08,2.0176053192389715e-08,1.5320203625006656e-08,8.370668399259201e-09,5.709507350874279e-09,5.39883073394326e-09,5.322541115483466e-09,5.154872815029039e-09,4.596214785301246e-09,3.3423967259620038e-09,3.2553305543477357e-09,3.553249656961339e-09,2.729781359690144e-09,2.083630605624004e-09,21D0187,120,10
192733.7797,502794.1986,0.5,-4.0,,8.49118463452913e-09,8.070654204710094e-09,5.937478438687936e-09,4.971356646649923e-09,6.578103885541169e-09,8.468262865217227e-09,9.658225741754073e-09,1.1508672782004488e-08,9.631549135695712e-09,5.239661332551511e-09,3.359714777728411e-09,2.5772255803410755e-09,3.5167340867673512e-09,4.4227772067727285e-09,3.775244326628099e-09,2.630276274632268e-09,21D0187,120,11
192733.7797,502794.1986,0.5,-4.0,,2.2258768358054723e-08,2.96243087552304e-08,3.0878512162603874e-08,2.4890712918833947e-08,1.5576408968264896e-08,1.2343764972693793e-08,1.0799032148224036e-08,7.261858017998257e-09,7.096317750518802e-09,7.2617566914162435e-09,6.6969831598963425e-09,4.721146267839518e-09,3.507065031319911e-09,3.309911732199008e-09,2.686734414231209e-09,2.1013951158465723e-09,21D0187,120,12
192733.7797,502794.1986,0.5,-4.0,,3.524000628330818e-09,3.0431555965195022e-09,2.509899709111208e-09,2.3385554531783034e-09,3.058333915858783e-09,5.015542355536171e-09,5.967042513263287e-09,5.175066862615301e-09,3.6256624860008756e-09,2.4970569319258343e-09,2.519868340397555e-09,1.9559729496269183e-09,1.504151012555262e-09,1.7279454601054867e-09,1.4893194852158202e-09,1.2210761192052552e-09,21D0187,120,13
192733.7797,502794.1986,0.5,-4.0,,9.033509344738417e-09,9.76054710024311e-09,1.1286379081395248e-08,9.758961272835042e-09,7.5758615401004e-09,6.152801788067393e-09,5.934732855345968e-09,5.377150791857707e-09,5.374053219279183e-09,4.854744310004529e-09,3.740876108988611e-09,3.045664910279098e-09,3.6789317853204707e-09,3.7462034379544284e-09,2.8711682200153922e-09,2.4567641388462062e-09,21D0187,120,14
192733.7797,502794.1986,0.5,-4.0,,4.061218324612905e-09,4.1176826979952135e-09,3.580216759530464e-09,2.98670035131203e-09,2.188045379933628e-09,3.169566568041003e-09,4.664538297960658e-09,5.282132495519136e-09,4.353051985452689e-09,2.685649903378838e-09,2.094441170462739e-09,1.8104250255203638e-09,1.4859681645894866e-09,1.4607300259386126e-09,1.273461256180663e-09,9.5065992619662e-10,21D0187,120,15
192733.7797,502794.1986,0.5,-4.0,,1.3964280408164404e-08,1.9283693494791484e-08,2.145146691711152e-08,1.7769160584873004e-08,1.0867341033394352e-08,7.3073284169125134e-09,6.668002809859603e-09,5.9354875900120495e-09,4.896271641178491e-09,3.307220273994598e-09,2.87724147501165e-09,2.528254875778386e-09,3.3706469685306035e-09,3.6918256589322076e-09,2.74247138005576e-09,1.9569066836372874e-09,21D0187,120,16
192733.7797,502794.1986,0.5,-4.0,,2.492203532182394e-09,2.3918642048962687e-09,1.91092555432066e-09,2.0700591532815726e-09,3.876392808562849e-09,6.00688325542764e-09,6.935663299959541e-09,5.964889451876959e-09,4.159175954471605e-09,2.049894483269361e-09,1.509784980749991e-09,1.3484532426181402e-09,1.9174474522612155e-09,2.2801133418118302e-09,1.869199037839631e-09,1.3258081211599495e-09,21D0187,120,17
192733.7797,502794.1986,0.5,-4.0,,1.5857361800136333e-08,2.1623377971316443e-08,2.3419926220344223e-08,1.966615691723029e-08,1.4470133930281634e-08,1.2806252746404816e-08,1.2051183832103314e-08,9.744516152201976e-09,7.400296984557971e-09,5.622471163038837e-09,5.265625944896264e-09,4.5497936192925234e-09,4.779834974200058e-09,4.8478504570686605e-09,3.2742465252073916e-09,2.496028798543317e-09,21D0187,120,18
192733.7797,502794.1986,0.5,-4.0,,3.881199979193943e-09,3.405002618662935e-09,2.6745903922926604e-09,2.9345685924878713e-09,3.620529265131059e-09,6.2435500902739e-09,7.1811907642646415e-09,6.140041549912816e-09,4.2787960922559435e-09,2.091368784077281e-09,1.5794718319966575e-09,1.257308069551749e-09,1.3731282600878004e-09,1.6534777230922614e-09,1.566132123716074e-09,1.189902252914579e-09,21D0187,120,19
192733.7797,502794.1986,0.5,-4.0,,1.2780727385554375e-08,1.7629386805921183e-08,1.856058771300316e-08,1.4947786754670765e-08,1.0166349684584391e-08,7.156860523835448e-09,5.821386758854572e-09,4.346815189250925e-09,3.161004516010867e-09,2.715573184425329e-09,3.158317380558382e-09,3.0543450368243313e-09,3.638623690405467e-09,3.783729111238384e-09,2.4741626364103797e-09,1.6392257822444443e-09,21D0187,120,20
192733.7797,502794.1986,0.5,-4.0,,8.572479206622341e-09,8.332622293378144e-09,9.164042567878665e-09,1.1282994280458381e-08,1.2104306560407548e-08,1.2950422919911972e-08,1.0517681878918877e-08,5.464596459434165e-09,3.994210845240737e-09,3.552280294070812e-09,3.103576290155045e-09,2.3733869913441903e-09,1.790257279738572e-09,1.7537495933051115e-09,1.668633626036664e-09,1.377615743001052e-09,21D0187,120,21
192733.7797,502794.1986,0.5,-4.0,,1.0892575264192416e-08,1.7263213232828213e-08,2.0395254427619405e-08,1.6942755151668286e-08,9.909301315918378e-09,5.817866237982707e-09,4.882236296130434e-09,3.619007852947832e-09,3.266502652102629e-09,2.9906413326469476e-09,2.6665527632272344e-09,2.546716984115592e-09,3.5224378713214623e-09,3.8942893281553855e-09,3.4041796065875527e-09,2.597179198253287e-09,21D0187,120,22
192733.7797,502794.1986,0.5,-4.0,,4.629759631963954e-09,3.649054250037351e-09,2.164721626232759e-09,2.0453728662330804e-09,4.340114501570351e-09,7.179746315845647e-09,7.871176749620264e-09,6.464582728591979e-09,4.577002903989413e-09,2.3786895629852074e-09,1.6851943488080979e-09,1.0085984586785171e-09,1.5082983912034575e-09,1.848085360878049e-09,1.546864518169368e-09,1.1564218763348292e-09,21D0187,120,23
192733.7797,502794.1986,0.5,-4.0,,1.304875262831938e-08,2.0277649041507866e-08,2.3349714755791553e-08,1.88251952764329e-08,1.0534951173459997e-08,6.280128922416575e-09,5.5465109083800125e-09,5.8602746062055155e-09,7.313786274169501e-09,7.288453377752118e-09,5.396618659708423e-09,3.087917635386543e-09,3.8727475111619064e-09,4.427442316991131e-09,3.2427874973786863e-09,2.215688648044958e-09,21D0187,120,24
