x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,cwt_f32,cwt_f34,cwt_f36,cwt_f38,cwt_f40,Borehole_name,DAS_name,train_number
192733.7797,502794.1986,0.5,-4.0,,1.0763857518574237e-08,9.106596985270124e-09,8.148862680267165e-09,8.861477066009076e-09,1.1348595097721744e-08,1.1486004105607456e-08,1.0837140324176453e-08,1.2585273211668503e-08,1.0967895015599332e-08,6.5558378991804325e-09,4.817998429826511e-09,4.130289453049872e-09,4.185089446490648e-09,4.000694118402442e-09,3.395640498330665e-09,2.6628446210571407e-09,21D0187,120,1
192733.7797,502794.1986,0.5,-4.0,,1.621880852976848e-08,1.6736748328790247e-08,1.3162899793731129e-08,9.998138353211656e-09,7.579071007234413e-09,7.186031652859212e-09,6.700438990670513e-09,5.794173561304829e-09,5.218117165909598e-09,3.8846812368159874e-09,3.450130668290512e-09,2.8397890285639117e-09,2.9190932683557382e-09,3.366338271881322e-09,2.850019567295526e-09,2.007361084795988e-09,21D0187,120,2
192733.7797,502794.1986,0.5,-4.0,,1.6812792914887843e-08,2.0456390552712324e-08,2.0969863901615748e-08,1.710341651199036e-08,9.242840930345616e-09,4.5422359827611195e-09,3.738025074116005e-09,4.427164425179812e-09,4.8408740757266105e-09,4.235343320146201e-09,3.321754940348303e-09,1.891759682690934e-09,1.35267741678492e-09,1.397755501742325e-09,1.394058124607142e-09,1.2434249868433904e-09,21D0187,120,3
192733.7797,502794.1986,0.5,-4.0,,1.9021629613411103e-08,2.3532738582498624e-08,2.0600494572879783e-08,1.518859313964061e-08,9.125478286415105e-09,5.270056203689771e-09,4.0331713630245755e-09,3.241283011838328e-09,3.083684532320441e-09,2.925498306723042e-09,2.565792489655686e-09,2.4691785422104512e-09,2.4562881157736723e-09,2.2355328644114207e-09,1.7601901490690882e-09,1.447450763137134e-09,21D0187,120,4
192733.7797,502794.1986,0.5,-4.0,,1.5249959829529946e-08,2.1786526995717676e-08,2.2987812024012656e-08,1.8361412744177125e-08,1.1644375523178882e-08,7.115152035932067e-09,6.0849509216210524e-09,5.773169748157937e-09,5.303265493210101e-09,4.739402484516626e-09,3.8691902495643935e-09,2.892324055284684e-09,3.0623623396128892e-09,2.951673104944268e-09,2.0339133420028496e-09,1.736236383000669e-09,21D0187,120,5
192733.7797,502794.1986,0.5,-4.0,,2.0505725080483327e-08,2.7950639161410268e-08,3.013113718909067e-08,2.4419159019560548e-08,1.3380498555745465e-08,6.838717314791888e-09,5.687349653693994e-09,6.971345460202798e-09,8.473869796424591e-09,7.954701920660141e-09,5.879840065993538e-09,3.810036756875045e-09,5.360745503045902e-09,5.205052746358009e-09,3.2604883704198952e-09,2.43042572457062e-09,21D0187,120,6
192733.7797,502794.1986,0.5,-4.0,,1.00640201990772e-08,1.4392942116949462e-08,1.9779445287908108e-08,2.0176053192389715e-08,1.5320203625006656e-08,8.370668399259201e-09,5.709507350874279e-09,5.39883073394326e-09,5.322541115483466e-09,5.154872815029039e-09,4.596214785301246e-09,3.3423967259620038e-09,3.2553305543477357e-09,3.553249656961339e-09,2.729781359690144e-09,2.083630605624004e-09,21D0187,120,7
192733.7797,502794.1986,0.5,-4.0,,2.2258768358054723e-08,2.96243087552304e-08,3.0878512162603874e-08,2.4890712918833947e-08,1.5576408968264896e-08,1.2343764972693793e-08,1.0799032148224036e-08,7.261858017998257e-09,7.096317750518802e-09,7.2617566914162435e-09,6.6969831598963425e-09,4.721146267839518e-09,3.507065031319911e-09,3.309911732199008e-09,2.686734414231209e-09,2.1013951158465723e-09,21D0187,120,8
192733.7797,502794.1986,0.5,-4.0,,1.3964280408164404e-08,1.9283693494791484e-08,2.145146691711152e-08,1.7769160584873004e-08,1.0867341033394352e-08,7.3073284169125134e-09,6.668002809859603e-09,5.9354875900120495e-09,4.896271641178491e-09,3.307220273994598e-09,2.87724147501165e-09,2.528254875778386e-09,3.3706469685306035e-09,3.6918256589322076e-09,2.74247138005576e-09,1.9569066836372874e-09,21D0187,120,9
192733.7797,502794.1986,0.5,-4.0,,1.5857361800136333e-08,2.1623377971316443e-08,2.3419926220344223e-08,1.966615691723029e-08,1.4470133930281634e-08,1.2806252746404816e-08,1.2051183832103314e-08,9.744516152201976e-09,7.400296984557971e-09,5.622471163038837e-09,5.265625944896264e-09,4.5497936192925234e-09,4.779834974200058e-09,4.8478504570686605e-09,3.2742465252073916e-09,2.496028798543317e-09,21D0187,120,10
192733.7797,502794.1986,0.5,-4.0,,1.2780727385554375e-08,1.7629386805921183e-08,1.856058771300316e-08,1.4947786754670765e-08,1.0166349684584391e-08,7.156860523835448e-09,5.821386758854572e-09,4.346815189250925e-09,3.161004516010867e-09,2.715573184425329e-09,3.158317380558382e-09,3.0543450368243313e-09,3.638623690405467e-09,3.783729111238384e-09,2.4741626364103797e-09,1.6392257822444443e-09,21D0187,120,11
192733.7797,502794.1986,0.5,-4.0,,1.0892575264192416e-08,1.7263213232828213e-08,2.0395254427619405e-08,1.6942755151668286e-08,9.909301315918378e-09,5.817866237982707e-09,4.882236296130434e-09,3.619007852947832e-09,3.266502652102629e-09,2.9906413326469476e-09,2.6665527632272344e-09,2.546716984115592e-09,3.5224378713214623e-09,3.8942893281553855e-09,3.4041796065875527e-09,2.597179198253287e-09,21D0187,120,12
192733.7797,502794.1986,0.5,-4.0,,1.304875262831938e-08,2.0277649041507866e-08,2.3349714755791553e-08,1.88251952764329e-08,1.0534951173459997e-08,6.280128922416575e-09,5.5465109083800125e-09,5.8602746062055155e-09,7.313786274169501e-09,7.288453377752118e-09,5.396618659708423e-09,3.087917635386543e-09,3.8727475111619064e-09,4.427442316991131e-09,3.2427874973786863e-09,2.215688648044958e-09,21D0187,120,13
192733.7797,502794.1986,0.5,-4.0,,2.30185903174445e-08,3.137039810760213e-08,2.7709985993644894e-08,1.884875172028301e-08,1.037632097134006e-08,8.376638703002962e-09,6.970023967120861e-09,5.3636894510332705e-09,5.321090755333946e-09,4.933344711772145e-09,4.368569752762116e-09,4.166878324033634e-09,3.5390433951188073e-09,2.857811154744313e-09,2.3517911558095804e-09,2.398895928547204e-09,21D0187,120,14
192733.7797,502794.1986,0.5,-4.0,,1.0051923522792345e-08,9.678657202773836e-09,8.381900819262947e-09,7.998200036002498e-09,9.149043850709817e-09,1.2937474915158217e-08,1.5677423033652078e-08,1.3409312515282582e-08,1.1342206287034504e-08,7.904222872245016e-09,5.610979204774215e-09,3.428818817742952e-09,3.2386753406213782e-09,4.330619781542206e-09,5.385406966569776e-09,4.462909768204119e-09,21D0187,120,15
192733.7797,502794.1986,0.5,-4.0,,1.5997637852797912e-08,1.8289592640680024e-08,1.5720994822185574e-08,1.1652199172411222e-08,6.949677714306399e-09,6.69134641906494e-09,7.156265696139089e-09,6.430057470255139e-09,6.9928884111460504e-09,6.0328388001962205e-09,4.5087858024217e-09,3.742512271401154e-09,3.47314829016963e-09,3.020360996459379e-09,2.3746997267299502e-09,2.1672021193488902e-09,21D0187,120,16
192733.7797,502794.1986,0.5,-4.0,,1.28016384587364e-08,1.4376051606928466e-08,1.4014941060137405e-08,1.1486820081476818e-08,1.1267186612413125e-08,1.4674874204027849e-08,1.4236726512646365e-08,1.2016949350761308e-08,1.0187585196550745e-08,6.669222177512877e-09,5.695996773216995e-09,4.280798502818171e-09,3.056650553380941e-09,3.313385257430142e-09,3.551921101298483e-09,3.185321353938392e-09,21D0187,120,17
192733.7797,502794.1986,0.5,-4.0,,1.8561466203508132e-08,2.4577020377699597e-08,2.434637621895255e-08,1.884599001001852e-08,1.1092352090772712e-08,7.307890083516468e-09,7.671770361723286e-09,9.368539930452796e-09,8.93905803358769e-09,6.887011407854957e-09,4.992164226250058e-09,3.874248910790897e-09,4.486535655339695e-09,4.546757706620507e-09,3.157852615439613e-09,2.489266345436481e-09,21D0187,120,18
192733.7797,502794.1986,0.5,-4.0,,1.519550571483489e-08,2.1110395476880656e-08,2.2671307020896257e-08,1.8532085441366278e-08,1.0982299367760938e-08,6.580554690784691e-09,5.5383512666167995e-09,4.2818094014785005e-09,4.300202623253453e-09,4.357801974145562e-09,3.844142592870987e-09,3.541546631928113e-09,3.439014763604989e-09,3.500617450059558e-09,2.7804083285413e-09,2.020884279086361e-09,21D0187,120,19
192733.7797,502794.1986,0.5,-4.0,,1.3637980909480196e-08,1.877132470658225e-08,2.0745833879892782e-08,1.7408525729063226e-08,1.0813275864145032e-08,6.742778385391308e-09,5.251802770150717e-09,4.639375584032518e-09,4.539388928305876e-09,3.909646281471588e-09,3.764748541203439e-09,3.176112983106122e-09,3.227794052475736e-09,3.831764480573309e-09,3.252615942589625e-09,2.4277850408433166e-09,21D0187,120,20
192733.7797,502794.1986,0.5,-4.0,,1.6589029974680366e-08,2.107694833229468e-08,2.056094899921369e-08,1.5652121744877742e-08,8.213610713752869e-09,6.052787718217889e-09,5.574186794581533e-09,5.795128979607785e-09,5.9968189256702236e-09,4.4440120340795845e-09,3.285642772094439e-09,2.7996568825196583e-09,3.778583622558891e-09,3.784399235325478e-09,2.4683318194539476e-09,1.88343654326527e-09,21D0187,120,21
192733.7797,502794.1986,0.5,-4.0,,1.448798568978739e-08,1.7588358812977362e-08,1.7516075344686664e-08,1.4048480597432465e-08,7.624297156188582e-09,4.064231222920519e-09,3.752987609905426e-09,3.330606591830302e-09,2.8809508355396433e-09,2.37925356085344e-09,2.4082810138939126e-09,2.072866221965886e-09,2.6158064556664994e-09,2.736022884397844e-09,1.9688807240900734e-09,1.4740994162220215e-09,21D0187,120,22
192733.7797,502794.1986,0.5,-4.0,,1.6198743345255585e-08,1.96162943989606e-08,2.0254296962314742e-08,1.65494577810941e-08,9.884444492492149e-09,6.444130927855127e-09,5.359306965203757e-09,4.3589988487028575e-09,4.219529028208914e-09,3.600178635574845e-09,3.12885845435973e-09,2.711111629900099e-09,3.564448152075081e-09,3.4458989960447763e-09,2.4520988979788573e-09,1.876677244830658e-09,21D0187,120,23
192733.7797,502794.1986,0.5,-4.0,,1.3829424204060322e-08,1.9688698509647983e-08,2.0055774865137722e-08,1.5354857596613273e-08,8.301664463689245e-09,4.9515947502966734e-09,4.163212140857576e-09,4.307328839170493e-09,4.677738196865064e-09,4.145921894154478e-09,3.096393415332805e-09,2.291292063482925e-09,3.8855752532767414e-09,4.442335296081971e-09,3.0895276510646433e-09,1.8995499683989388e-09,21D0187,120,24
