x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,cwt_f32,cwt_f34,cwt_f36,cwt_f38,cwt_f40,cwt_f42,cwt_f44,cwt_f46,cwt_f48,cwt_f50,cwt_f52,cwt_f54,cwt_f56,cwt_f58,cwt_f60,cwt_f62,cwt_f64,cwt_f66,cwt_f68,cwt_f70,cwt_f72,cwt_f74,cwt_f76,cwt_f78,cwt_f80,DAS_name,Borehole_name
192733.7797,502794.1986,0.39,-4.5,3.8,1.0785854169567709e-08,1.3031301888023978e-08,1.3108864224189913e-08,1.0975832569499812e-08,8.136657677126357e-09,7.62965482080077e-09,7.605447025387777e-09,6.881204529568314e-09,5.9145740549580174e-09,4.260478560337986e-09,3.382326207198832e-09,2.6020107520857206e-09,2.866492781941565e-09,3.1284875477423357e-09,2.5931838524191463e-09,1.9914085075372704e-09,1.3987166107772746e-09,1.2153431016095134e-09,1.078022884421056e-09,9.752842234494444e-10,8.38071031745356e-10,7.62896873533164e-10,7.234252319684447e-10,6.566539082955095e-10,5.848972412612801e-10,4.790489594810882e-10,4.25272933380275e-10,3.6598207702493576e-10,3.25707842388249e-10,2.6520682814096177e-10,2.3094750361643803e-10,2.2916765097613278e-10,2.3605241004866584e-10,2.4507592390223986e-10,2.634020303803077e-10,2.5966880280818163e-10,120,21D0193
192716.034,502802.6856,0.39,-4.5,3.8,1.0007056575816402e-08,1.2213607363969156e-08,1.1989205365772858e-08,9.652074779963608e-09,6.5529912118184874e-09,5.743406854464012e-09,5.7814723746818864e-09,5.293460934540063e-09,4.782412739275775e-09,3.834445818281262e-09,3.098409755647965e-09,2.368603966133757e-09,2.3271906941877434e-09,2.310139519890659e-09,1.9035219558949182e-09,1.617901931169974e-09,1.3215680550875986e-09,1.198945862575721e-09,1.0774624470444087e-09,9.551492403654148e-10,8.441206519091695e-10,8.335505040183326e-10,7.847014131273999e-10,6.590352392814735e-10,5.752262041029809e-10,4.6387568391903925e-10,3.95757227392664e-10,3.1008301804558184e-10,2.6227119086040876e-10,2.1084184959423282e-10,1.956874105019565e-10,1.9711296620155799e-10,1.8448131747739328e-10,1.7880724291627334e-10,1.8587903093227663e-10,1.9377685951173692e-10,140,21D0193
192698.5373,502811.6678,0.39,-4.5,3.8,6.197734366681081e-09,7.613067206971554e-09,7.917707855272443e-09,6.66932169725777e-09,4.876886440620339e-09,4.2378746760606455e-09,3.7136126430234243e-09,2.921240808681512e-09,2.739561292914021e-09,2.4255206090767437e-09,2.0829361199229683e-09,1.7132985881320204e-09,1.8000852266264644e-09,1.931946020555888e-09,1.729624112299043e-09,1.484998916300299e-09,1.1994965449635102e-09,1.0661597837455952e-09,9.46729712143018e-10,8.554720112695341e-10,8.027757455021394e-10,8.197027505445415e-10,7.690647629219411e-10,6.388728407318228e-10,5.521738215296411e-10,4.6550353876260186e-10,4.114238494171469e-10,3.2858530431595143e-10,2.8162683217475237e-10,2.6775289951974465e-10,3.708483341097917e-10,4.2355979973923955e-10,3.9373983677243693e-10,3.408189267962394e-10,2.6152643484234006e-10,2.25237702073105e-10,160,21D0193
192681.1362,502820.8402,0.43,-5.2,3.5,5.356855894802284e-09,6.886171827951345e-09,7.919130087491317e-09,7.250835737934908e-09,5.786217932843601e-09,4.858999519589496e-09,4.2377420593478714e-09,3.534717877251185e-09,3.112797060410512e-09,2.347833944167249e-09,1.8227017913845285e-09,1.3547483005013126e-09,1.527182408375293e-09,1.6165667783661095e-09,1.3252843316290295e-09,1.1154146425054506e-09,9.311403516337561e-10,8.198778265738533e-10,6.835632880991841e-10,6.150601747517509e-10,5.841318710138318e-10,5.803613940658874e-10,5.406714512670946e-10,4.603557762660307e-10,4.2222082426905567e-10,4.044647224178595e-10,3.8170894017726057e-10,3.0549331923774314e-10,2.4783731017088776e-10,1.832299008381553e-10,1.5303730721256784e-10,1.4578653868851916e-10,1.4801625092373308e-10,1.6220104754130798e-10,1.873355299307648e-10,1.953382208628437e-10,180,21D0184
192663.7351,502830.0126,0.43,-5.2,3.5,4.585972177915074e-09,5.5752762632513026e-09,5.939441834911679e-09,5.469799020677429e-09,4.117638758647446e-09,3.2651219631496523e-09,2.908607089783786e-09,2.3064483269705336e-09,1.988046184603273e-09,1.5658198271064583e-09,1.249355904318718e-09,9.670586880043463e-10,9.559408122960271e-10,9.498665626230281e-10,8.230009127028455e-10,7.455194617742542e-10,6.501537070305124e-10,5.649207912146661e-10,4.391172592773681e-10,3.691900777602656e-10,2.8955726897516046e-10,2.4679770410129456e-10,2.3319500643495256e-10,2.2434692276381943e-10,2.4503767256375385e-10,3.0092543551589264e-10,3.506774878812238e-10,4.623289120441697e-10,4.983819270973444e-10,3.9731952386270124e-10,2.3086366753910108e-10,1.69397632660092e-10,1.6979493060651618e-10,1.929144866978804e-10,2.051621255351884e-10,2.014624245528456e-10,200,21D0184
192646.334,502839.185,0.41,-3.6,3.5,3.0062671554098163e-09,3.3963704247638892e-09,3.50252865983705e-09,3.4288268242294182e-09,3.1883302959158164e-09,3.0282830346609637e-09,2.9855799546569763e-09,2.9447839668249755e-09,2.809799746238701e-09,2.1811546129236237e-09,1.6993817465755135e-09,1.3082610801869135e-09,1.5444099052668914e-09,1.5570162197182854e-09,1.1414290791157087e-09,8.6940194223648e-10,6.896072515092162e-10,6.108203624409645e-10,5.047269780111064e-10,4.4093713819834656e-10,3.755342329406205e-10,3.45144214354618e-10,3.2382178152205663e-10,2.81904387767996e-10,2.476314419004834e-10,2.0888708189836183e-10,1.8886253648913948e-10,1.6683937957240748e-10,1.7271234527509343e-10,2.2799579507530202e-10,2.6786495649765485e-10,3.024143730127782e-10,3.596064888811827e-10,3.661614333775583e-10,3.2953802645886125e-10,2.915889178042769e-10,220,21D0185
192628.933,502848.3574,0.41,-3.6,3.5,6.940136336257192e-09,7.95268228926518e-09,7.911234038478757e-09,7.2307841397309425e-09,6.1521885666903185e-09,5.465219300556809e-09,5.406482006719513e-09,5.390952907946425e-09,4.8574318695256526e-09,3.450153011720936e-09,2.682501003368681e-09,2.277573702221766e-09,2.4892966387492686e-09,2.45058758734406e-09,1.915589881149955e-09,1.6050949088742019e-09,1.3511423450227261e-09,1.207486593644507e-09,1.0414070826837307e-09,9.282410426479285e-10,8.704601738260601e-10,8.457816982438612e-10,7.630699279836558e-10,6.063622508330843e-10,5.037401399414252e-10,3.979846627168179e-10,3.4660378354636716e-10,2.7764526752200567e-10,2.357905221069462e-10,1.8396360837702248e-10,1.5546062965578987e-10,1.4744003640878188e-10,1.481178316113966e-10,1.5529977647770412e-10,1.6640230964704918e-10,1.6800369356534511e-10,240,21D0185
192611.7707,502857.9625,0.41,-3.6,3.5,1.5944927908685928e-09,1.9628182068840654e-09,2.2838371707996064e-09,2.3436146532827413e-09,2.261237057165124e-09,1.984039535657803e-09,1.7590991192293395e-09,1.3498883711913183e-09,1.1133827390059896e-09,8.309430199155336e-10,6.718654993043698e-10,6.043240278432473e-10,8.542521156115097e-10,9.819299753191523e-10,8.785159799073401e-10,8.214396779097676e-10,7.39853866924137e-10,5.82514117858199e-10,3.6486596120032514e-10,2.9002594659195687e-10,2.469972954028664e-10,2.143021353432978e-10,1.9002823597722224e-10,1.5601948326625394e-10,1.4535668429721866e-10,1.566216759641444e-10,1.8650450340463419e-10,2.3994051251055235e-10,2.45071832177228e-10,2.2199090565412567e-10,2.405197600934482e-10,3.171760788647084e-10,3.9419137939239397e-10,3.4206926287498745e-10,2.0486096524237006e-10,1.4966128686909244e-10,260,21D0185
192594.7404,502867.8066,0.37,-5.2,4.2,6.290189958817902e-09,7.707597603317669e-09,8.579355312826611e-09,8.01768321564572e-09,6.7165683703967085e-09,6.212957362877871e-09,5.980470381409977e-09,4.8032446547300995e-09,3.8789264249958604e-09,2.910307483359756e-09,2.4435743896828953e-09,2.092982873723538e-09,2.4254499318354472e-09,2.4462252321153103e-09,1.9728622890563972e-09,1.741146065967225e-09,1.5796532956779991e-09,1.4521261276671794e-09,1.2554999744886587e-09,1.0930495839882435e-09,9.041928072801875e-10,8.870693077887405e-10,8.48659138355733e-10,7.03132814026582e-10,6.075702667506601e-10,5.227411816209277e-10,4.937173105999853e-10,4.3098515317797377e-10,3.7173629997300864e-10,2.844142168246387e-10,2.2946678220806278e-10,2.2114705699054926e-10,2.2508954208360426e-10,2.196147742270506e-10,2.1749016068456835e-10,2.3042903417528078e-10,280,21D0186
192577.7101,502877.6507,0.37,-5.2,4.2,2.515579127439278e-09,3.1360441936047742e-09,3.5576216384878942e-09,3.315853073017871e-09,2.902169303623252e-09,2.867669870642635e-09,2.8387509791102127e-09,2.436552699440484e-09,2.0107660244108303e-09,1.391549215818401e-09,1.0681006777578422e-09,8.51620077525431e-10,8.972849621648528e-10,9.235147254580067e-10,8.114532943586215e-10,7.889254427991754e-10,7.48616006520522e-10,6.657277724172063e-10,5.278805186058817e-10,4.43909229933615e-10,3.865133931165677e-10,3.8660936865376987e-10,3.7568026960913255e-10,3.51604749599506e-10,3.4875540376237143e-10,4.390474689560783e-10,5.602029827254948e-10,6.962176589252293e-10,7.042169480560591e-10,5.586159413593512e-10,3.5585687070543065e-10,2.6114004466713584e-10,1.9370269905074606e-10,1.848582313280888e-10,1.8439994279215854e-10,1.6527576909741944e-10,300,21D0186
